Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
4335,1494,98239.11,1494,20,121,719,579,30,1151,343,0,1444,997,447
3726,1503,85514.35,1503,211,621,152,203,93,1368,38,97,1399,1154,245
3722,1490,70466.04,1490,63,614,440,294,23,1394,96,0,1392,1026,366
4820,1640,113651.98,1640,228,556,250,219,149,1589,41,10,1559,1343,216
6445,2452,82853.05,2452,678,932,160,164,349,1961,491,0,2297,1758,539
6288,3369,55866.24,3369,445,1280,435,329,346,1116,2219,34,3195,1832,1363
3131,1115,121407.75,1115,10,1042,15,0,9,1109,6,0,1042,986,56
7490,3177,52334.1,3177,1498,594,218,95,72,1507,1650,20,2962,1696,1266
4494,1781,83597.29,1781,648,982,104,11,0,1553,228,0,1677,1426,251
2453,959,83490.53,959,43,506,80,146,57,767,192,0,843,464,379
12151,3782,107122.72,3782,55,228,140,315,804,3662,114,6,3498,3145,353
6017,2075,108403.77,2075,270,282,351,359,397,2058,16,1,2026,1933,93
3531,1334,95494.15,1334,3,247,916,165,0,979,355,0,1256,958,298
4536,1963,76698.7,1963,1365,196,211,69,16,1423,535,5,1835,1320,515
7163,2424,78319.94,2424,51,277,620,642,205,1098,1326,0,2280,1617,663
828,469,47763.28,469,242,35,13,30,60,0,469,0,396,205,191
5985,2012,139393.04,2012,47,224,748,439,150,1598,409,5,1814,1689,125
4335,1944,70068.15,1944,491,854,268,232,36,1358,585,1,1901,1123,778
4704,1843,133929,1843,1456,213,38,40,20,1531,307,5,1799,1454,345
7397,2866,71427.72,2866,741,1384,347,233,52,1715,1147,4,2634,1674,960
5319,2009,79706.61,2009,80,1484,127,72,55,1495,514,0,1942,1509,433
6689,2721,52892.01,2721,358,1940,159,107,42,908,1813,0,2511,1112,1399
5859,2977,57968.64,2977,860,930,294,198,132,1242,1735,0,2693,1340,1353
9037,3002,101859.12,3002,337,205,141,568,665,2859,143,0,2808,2601,207
5674,2068,107709.61,2068,0,17,20,567,820,1686,382,0,1901,1703,198
3077,1023,139673.54,1023,336,430,33,39,30,1007,16,0,933,849,84
5257,1885,93785.49,1885,360,965,214,134,45,921,964,0,1756,885,871
7922,3238,63479.27,3238,38,992,453,900,380,1879,1359,0,2898,1904,994
22,8,70000,8,0,2,1,0,0,8,0,0,4,3,1
2592,1148,77743.75,1148,875,158,42,53,0,891,252,5,1142,818,324
7333,2446,46028.53,2446,751,850,121,73,36,1253,1193,0,2247,1226,1021
3583,1456,95770.63,1456,145,687,258,140,101,1092,351,13,1441,1245,196
3875,1959,42134.12,1959,1269,488,95,47,15,346,1613,0,1821,546,1275
810,411,73491.14,411,0,0,0,30,233,91,320,0,397,346,51
4980,2236,98666.65,2236,726,714,244,246,48,959,1272,5,2112,1196,916
6711,1775,80310.71,1775,0,57,219,1317,83,1692,83,0,1646,1318,328
7230,2568,67054.76,2568,280,464,966,415,100,1551,1017,0,2445,1729,716
7457,2639,96791.2,2639,64,856,350,129,205,2569,70,0,2445,2125,320
4310,1827,60718.45,1827,615,254,121,326,146,1786,36,5,1765,1645,120
2240,1288,44067.03,1288,566,317,75,126,55,55,1233,0,1195,285,910
3805,1192,184071.39,1192,0,11,74,837,189,1192,0,0,1106,1093,13
4627,2341,46594.96,2341,659,966,317,167,43,1138,1187,16,2272,1295,977
4192,1727,83492.41,1727,347,499,231,161,161,1497,74,156,1631,1523,108
4718,1815,85554.17,1815,390,538,202,166,137,1783,26,6,1731,1563,168
3101,1211,149762.36,1211,1084,91,7,7,0,727,476,8,1166,703,463
2442,1355,41794.27,1355,812,272,72,91,0,16,1339,0,1267,261,1006
4811,1797,103158.72,1797,47,438,163,553,316,1417,380,0,1732,1631,101
7775,2428,101517.67,2428,126,247,159,234,743,2181,242,5,2264,1982,282
366,117,41773.24,117,9,33,22,9,3,92,14,11,116,77,16
4588,2325,42458.29,2325,791,1007,354,117,14,706,1614,5,2163,634,1529
3655,1441,103892.92,1441,1117,85,11,42,103,1158,278,5,1346,1138,208
853,373,43234.83,373,325,33,3,10,0,337,36,0,368,316,52
1220,499,59078.5,499,256,133,41,17,36,303,196,0,499,347,152
5182,1913,91754.29,1913,246,645,205,170,164,1761,147,5,1787,1586,201
3145,1167,91815.21,1167,43,1018,41,20,0,1162,5,0,1088,916,172
13461,4108,101286.5,4108,29,222,691,702,246,3624,484,0,3629,3091,538
3570,967,70315.38,967,30,316,481,93,19,853,114,0,903,581,322
933,351,207877.99,351,207,90,10,21,3,331,15,5,346,305,41
8049,4365,46965.6,4365,1496,991,387,429,132,216,4143,6,4090,1629,2461
5789,1835,84893.18,1835,341,437,240,322,134,600,1235,0,1734,1239,495
3303,1334,77820.88,1334,693,527,54,40,3,940,394,0,1292,818,474
11636,3718,137106.13,3718,21,505,301,412,425,3528,190,0,3447,2947,500
1676,969,38453.21,969,509,231,54,31,15,249,715,5,924,370,554
5651,2320,45646.25,2320,352,1129,221,77,132,1144,1176,0,2145,1087,1058
5383,2292,43739.21,2292,334,1216,346,258,50,627,1661,4,2216,632,1584
7266,2871,68810.15,2871,472,926,370,285,368,1577,1294,0,2761,1914,847
7998,3308,91853.75,3308,280,696,120,271,544,1988,1318,2,2994,1605,1388
2773,1043,84981.63,1043,21,338,218,199,60,995,21,27,975,932,43
9145,3468,87956.77,3468,83,572,918,521,430,2324,1064,80,3294,2520,774
5743,2205,35603.61,2205,1210,578,119,97,17,1818,384,3,2042,818,1224
10413,3145,111638.71,3145,8,21,268,648,1015,3072,73,0,2970,2665,305
3109,1014,93216.47,1014,236,72,12,11,52,712,286,16,924,834,90
5796,2312,54005.67,2312,1021,918,95,192,28,765,1547,0,2180,903,1277
4936,1693,137154.79,1693,586,798,95,27,31,1671,22,0,1594,1519,75
6569,2394,107540.14,2394,60,463,295,366,370,1800,7,587,2244,2083,161
5469,2644,195643.88,2644,1814,245,67,129,266,913,1726,5,2491,1663,828
2024,656,669559.56,656,549,58,10,3,10,646,10,0,653,634,19
4082,1772,57679.37,1772,410,813,152,218,28,1188,579,5,1733,969,764
2953,1282,100000,1282,779,388,56,21,11,1246,36,0,1259,1114,145
3174,1396,87223,1396,1120,160,52,22,3,1058,338,0,1309,997,312
5241,2325,53805.28,2325,44,750,375,439,274,821,1504,0,2110,618,1492
2800,1194,46533.63,1194,868,169,59,44,16,442,752,0,1085,423,662
5014,2312,56138.53,2312,648,1076,312,219,25,821,1491,0,2257,1016,1241
4600,1942,61283.46,1942,243,1180,253,82,86,519,1423,0,1778,904,874
4053,1154,90611.69,1154,0,130,735,220,24,873,281,0,1066,865,201
7890,3702,47560.67,3702,404,1423,577,526,272,1705,1990,7,3516,1487,2029
676,292,57478.77,292,77,69,63,34,29,258,8,26,294,282,12
4377,1391,70267.5,1391,68,819,115,276,40,846,526,19,1302,1131,171
9539,4093,77356.66,4093,345,732,602,562,454,2474,1608,11,3908,3065,843
5714,2371,60597.21,2371,1046,862,92,76,55,1493,874,4,2315,1340,975
7442,3444,75967.16,3444,1126,914,314,349,78,1780,1661,3,3156,1643,1513
2937,1054,60595.45,1054,43,871,108,22,0,884,102,68,1019,652,367
4319,1768,107315.47,1768,290,332,520,381,99,1362,402,4,1743,1486,257
2861,1109,51669.34,1109,380,593,81,24,18,466,643,0,1068,369,699
1347,480,86895.59,480,182,111,45,9,13,460,0,20,417,403,14
4164,1302,97609.4,1302,270,822,57,40,33,859,443,0,1265,962,303
4389,2114,91469.65,2114,910,800,90,36,3,433,1681,0,1990,643,1347
6619,2183,121737.44,2183,262,554,282,400,189,2125,51,7,2035,1906,129
1224,538,50421.59,538,109,165,84,108,35,511,0,27,514,484,30
4886,1793,88069.33,1793,55,567,665,212,114,1622,5,166,1729,1687,42
7399,2371,100683.99,2371,17,205,898,1052,73,2230,136,5,2198,1866,332
3325,1530,76516.68,1530,1024,269,45,60,21,733,797,0,1498,961,537
525,196,38652.68,196,3,32,61,32,20,190,6,0,185,32,0
2356,815,81335.83,815,46,488,227,36,3,805,10,0,774,597,177
4378,2025,53512.35,2025,307,713,323,278,87,929,1077,19,1934,997,937
5883,1968,103438.39,1968,36,89,705,618,38,1921,43,4,1819,1677,142
6764,2373,91562.74,2373,939,634,279,203,64,2260,59,54,2241,1956,285
3470,1357,74908.2,1357,243,317,262,198,76,1076,190,91,1271,1060,211
2524,976,110946.83,976,556,55,51,175,36,696,280,0,894,774,120
6173,2812,68714.34,2812,641,1402,442,181,45,1664,1139,9,2730,1398,1332
56,23,132478.7,23,0,10,0,3,0,14,6,3,22,9,3
3787,1236,58489.89,1236,150,869,119,48,9,531,705,0,1128,626,502
4234,1633,123341.03,1633,323,674,162,46,40,1475,158,0,1517,1321,196
2580,1133,43236.58,1133,284,529,71,68,40,396,736,1,1081,422,659
6841,3157,90821.24,3157,716,535,136,272,307,1521,1631,5,2897,1558,1339
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2141,1285,28670.84,1285,872,206,53,39,3,141,1134,10,1278,307,971
6370,2153,64495.67,2153,324,1041,527,86,21,1433,720,0,2018,1416,602
4592,2133,55940.57,2133,1763,256,53,12,7,1795,334,4,2015,1510,505
4236,2011,58236.88,2011,1488,275,165,53,5,371,1609,31,1888,747,1141
5689,3301,34809.11,3301,1068,1543,213,189,66,306,2991,4,3019,581,2438
2999,976,119524.64,976,113,648,121,46,13,745,231,0,959,862,97
7781,2949,38159.39,2949,728,1479,246,237,122,796,2147,6,2785,1055,1730
3980,2019,54261.85,2019,175,1069,360,179,73,1987,32,0,1933,1849,84
7931,3047,72392.69,3047,285,1455,710,432,46,1388,1659,0,2957,1798,1159
3973,1799,40900.16,1799,437,508,321,159,92,332,1409,58,1681,616,1065
5218,2959,53145.32,2959,734,1679,268,180,48,1176,1783,0,2874,1459,1415
4761,2254,74439.83,2254,1018,950,99,130,22,1698,551,5,2227,1679,548
4832,2448,52464.73,2448,1030,638,300,236,44,384,2060,4,2297,764,1533
3930,1419,108006.24,1419,0,0,0,42,80,926,493,0,1279,710,569
2027,565,90906.43,565,0,0,204,137,173,534,31,0,542,518,24
2512,1274,46305.46,1274,388,549,135,57,0,409,865,0,1182,501,681
1844,1003,39065.87,1003,487,321,129,29,11,260,743,0,995,273,722
2288,944,84990.74,944,244,360,103,131,43,865,75,4,936,783,153
4293,1897,49015.8,1897,193,693,329,261,173,848,1045,4,1806,533,1273
7228,2105,117081.81,2105,15,0,15,64,830,1500,605,0,2023,1726,297
9383,2280,97834.95,2280,23,38,57,649,877,2110,170,0,2078,1919,159
936,404,50900.05,404,112,120,74,45,15,298,106,0,408,279,129
4973,1734,35631.83,1734,223,782,311,247,64,459,1275,0,1630,138,1492
3106,1236,90000,1236,170,808,191,44,13,1206,30,0,1184,1044,140
7514,3798,47985.79,3798,787,1209,754,551,287,1113,2656,29,3580,1684,1896
7704,2654,134669.43,2654,229,396,335,509,369,2482,48,124,2467,2318,149
13950,4724,114189.81,4724,79,67,29,372,832,4130,594,0,4407,3849,558
3698,1312,92567.7,1312,455,752,12,38,12,1278,34,0,1206,960,246
1437,670,32302.96,670,433,151,31,33,0,390,277,3,656,276,380
7188,2874,89036.88,2874,557,824,525,380,186,2809,51,14,2702,2526,176
2226,1205,34171.22,1205,360,454,72,75,10,452,714,39,1090,335,755
2977,1113,88503.15,1113,0,5,10,609,256,825,288,0,1015,837,178
9372,3098,100431.83,3098,0,43,112,1737,288,3030,68,0,2808,2316,492
5578,2349,84789.54,2349,22,928,1065,285,34,1266,1081,2,2292,1623,669
4307,1589,90240.73,1589,90,391,439,343,99,1078,475,36,1505,1200,305
3831,1499,49314.63,1499,224,1090,123,35,0,57,1442,0,1454,550,904
3647,1489,80507.56,1489,114,307,337,379,115,1151,334,4,1386,1111,275
8336,3924,57338.38,3924,434,773,629,532,455,2703,1169,52,3732,2800,932
5160,1763,73090.12,1763,698,728,76,86,123,1135,628,0,1656,1270,386
5436,2528,49339.26,2528,638,850,506,131,70,983,1502,43,2435,1082,1353
3201,1760,65231.91,1760,388,801,202,212,42,139,1621,0,1681,583,1098
4035,1784,35545.01,1784,978,352,175,118,43,330,1438,16,1638,562,1076
11093,6785,75022.56,6785,600,160,163,679,970,277,6485,23,6180,3171,3009
10074,3113,86818.56,3113,2,80,386,1321,472,2361,752,0,2846,2126,720
3455,1158,132601.57,1158,0,13,39,328,156,1146,12,0,1019,942,77
7883,2613,100207.03,2613,299,746,430,225,80,2493,114,6,2323,2117,206
10797,3879,104937.21,3879,164,1080,450,325,284,3435,303,141,3491,2920,571
5089,1824,62298.74,1824,80,763,800,99,41,1209,615,0,1757,1348,409
3691,1446,93296.3,1446,1171,83,27,16,32,1128,313,5,1351,1093,258
4770,2169,42706.14,2169,1024,652,175,100,108,566,1585,18,2100,701,1399
15,7,85000,7,1,3,1,1,0,7,0,0,7,4,3
6971,2751,119297.07,2751,16,1644,52,157,318,2009,727,15,2571,2211,360
4938,2509,40538.23,2509,219,1577,460,153,36,299,2210,0,2416,591,1825
6779,2892,66998.21,2892,662,1000,452,143,57,2058,830,4,2633,1707,926
4612,1624,98480.89,1624,261,309,418,341,151,954,670,0,1584,1252,332
7029,2670,128587.42,2670,459,674,588,445,221,2577,93,0,2610,2419,191
1714,850,67866.36,850,708,91,21,11,0,627,219,4,788,539,249
8635,3371,83307.79,3371,17,137,1094,565,330,1470,1901,0,2973,2106,867
2834,1549,45155.81,1549,945,307,100,37,36,0,1539,10,1449,300,1149
2084,1215,27483.61,1215,740,310,64,44,3,237,973,5,1210,383,827
3470,1266,56939.24,1266,381,773,22,16,0,1017,249,0,1176,768,408
6684,2287,68814.33,2287,34,1307,623,160,38,1781,200,306,2158,1674,484
3777,1321,49896.46,1321,679,303,101,67,23,827,494,0,1223,806,417
4688,1538,148706.18,1538,0,55,806,611,9,1532,6,0,1428,1391,37
3100,1611,47306.29,1611,509,592,236,142,21,494,1088,29,1547,611,936
3616,1465,75480.1,1465,632,314,114,256,27,1234,231,0,1394,1134,260
8015,2836,57624.04,2836,405,607,420,408,161,602,2210,24,2647,1506,1141
4725,1814,114979.82,1814,43,288,78,252,227,1322,492,0,1670,1417,253
4446,1971,68824.31,1971,22,1332,172,129,120,1271,663,37,1799,1302,497
5619,1874,104387.9,1874,353,948,238,114,49,1099,775,0,1789,1474,315
7692,2025,86260.41,2025,22,292,841,647,82,1112,913,0,1938,1479,459
6236,2426,101705.64,2426,24,2073,231,24,0,2384,42,0,2280,2060,220
5712,2643,44406.67,2643,640,1021,274,217,52,920,1718,5,2545,1020,1525
4449,1649,108266.72,1649,0,15,463,663,307,1589,60,0,1541,1383,158
4261,1760,83375.37,1760,1574,113,26,17,0,1564,196,0,1658,1411,247
4774,2356,52753.97,2356,368,1181,300,96,44,1121,1234,1,2187,1058,1129
3473,1563,69835.84,1563,255,802,130,117,65,951,612,0,1497,972,525
5926,1771,95994.82,1771,0,189,265,698,249,1220,551,0,1681,1413,268
5775,1846,124895.72,1846,154,192,783,427,103,1539,307,0,1730,1523,207
3051,1450,52769.53,1450,925,329,72,42,25,201,1244,5,1387,586,801
3877,1629,86537.1,1629,173,356,396,365,128,1074,555,0,1526,1033,493
3263,1344,77293.43,1344,145,714,318,61,0,1196,148,0,1263,934,329
3812,1699,50582.3,1699,249,634,160,254,101,606,1089,4,1528,384,1144
3081,1028,81574.31,1028,152,724,93,38,3,980,43,5,968,706,262
3478,1276,95666.53,1276,27,766,130,235,0,1248,28,0,1166,953,213
7779,2591,69520.96,2591,1058,1081,99,72,0,1642,943,6,2385,1710,675
4806,2343,57820.97,2343,187,844,599,361,249,697,1645,1,2281,914,1367
1036,662,42690.87,662,262,80,115,41,20,0,662,0,604,187,417
5530,2616,85288.6,2616,788,321,72,54,215,1278,1338,0,2389,1929,460
5505,2096,119212.17,2096,1333,205,41,135,76,1041,1042,13,1980,1390,590
5227,1754,73597.79,1754,48,1391,137,97,7,1365,389,0,1625,1235,390
9543,3594,128447.3,3594,0,5,10,17,312,2617,977,0,3253,2312,941
6448,2639,71140.48,2639,207,687,239,1155,138,970,1669,0,2507,1496,1011
4957,1579,100875.2,1579,0,96,578,688,129,1495,84,0,1478,1181,297
2689,1261,73044.05,1261,45,653,311,143,58,756,505,0,1227,686,541
4346,2848,59750,2848,543,1569,463,168,29,96,2742,10,2682,629,2053
3427,1471,76513.25,1471,618,599,96,80,15,1286,180,5,1449,1127,322
4468,1342,123219.78,1342,0,127,1068,114,0,1292,50,0,1228,1169,59
5591,2163,58699.06,2163,86,1222,507,175,31,1182,960,21,2012,1058,954
4998,1843,111613.65,1843,21,579,938,240,3,1655,188,0,1724,1582,142
3021,1148,84136.01,1148,253,253,227,171,78,1135,13,0,1111,1050,61
4259,1871,38697,1871,1313,374,58,67,11,927,935,9,1808,827,981
6275,2190,72049.69,2190,398,669,574,387,41,1746,432,12,2133,1809,324
8110,3002,83985.42,3002,59,768,917,886,33,2268,734,0,2807,1877,930
3503,1768,32163.24,1768,955,646,74,49,9,740,1025,3,1689,465,1224
4784,2164,76056.19,2164,947,628,104,132,34,1288,871,5,2111,1255,856
4444,1531,103440.28,1531,80,399,745,165,38,1495,25,11,1428,1366,62
5548,2390,72829.13,2390,1042,895,274,103,13,1521,863,6,2351,1308,1043
5025,1738,89590.2,1738,42,906,466,249,23,1545,188,5,1685,1442,243
6443,2433,77478.96,2433,204,1251,296,299,74,1190,1243,0,2296,1670,626
7401,2738,47649.51,2738,199,1627,517,271,25,12,2726,0,2507,1073,1434
4896,2680,50820.12,2680,177,732,328,427,158,58,2622,0,2475,1080,1395
7294,2602,81970.09,2602,12,325,434,514,215,2281,321,0,2424,1934,490
2962,1784,43078.77,1784,426,940,231,120,4,231,1553,0,1750,135,1615
4013,1382,132824.86,1382,0,57,1195,69,16,1382,0,0,1354,1292,62
5427,2123,88288.4,2123,55,573,582,573,65,1259,698,166,2009,1478,531
4877,2224,52953.66,2224,1453,567,74,46,16,301,1923,0,2133,1029,1104
3642,1762,115166.86,1762,929,465,234,79,32,886,872,4,1729,939,790
8364,2395,91661.96,2395,3,82,608,1038,300,1838,557,0,2189,1624,565
10880,6286,45702.75,6286,148,582,1066,844,341,5,6281,0,5707,1875,3832
4678,1680,96666.26,1680,248,889,349,143,21,1465,210,5,1628,1364,264
4795,2167,48814.02,2167,555,439,242,341,97,505,1662,0,2017,986,1031
7252,3155,44664.64,3155,542,1137,660,235,108,1428,1727,0,2936,1017,1919
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9673,3890,84944.54,3890,142,707,562,652,242,1969,1916,5,3440,2165,1275
7287,2582,104660.77,2582,12,543,971,274,406,2413,169,0,2431,2253,178
6979,2217,148636.5,2217,78,211,290,363,190,2205,6,6,2071,2020,51
5081,1948,52407.25,1948,1653,192,7,29,7,1630,313,5,1824,1397,427
5225,1929,105648.9,1929,0,707,400,171,308,1317,612,0,1848,1580,268
4774,1586,91187.34,1586,5,132,576,520,271,1060,521,5,1511,1045,466
13496,4915,105192.46,4915,58,180,487,308,475,3800,1108,7,4639,3694,945
9456,3717,89821.35,3717,268,1147,184,197,530,3365,351,1,3507,2937,570
1382,441,72396.56,441,53,107,17,28,36,432,6,3,404,344,60
1250,675,39229.52,675,356,196,54,40,3,0,670,5,629,120,509
8196,3563,98200.18,3563,15,286,104,680,1039,1931,1580,52,3022,2158,864
55,11,74375,11,1,0,0,0,0,0,0,11,1,0,1
6304,2843,34062.01,2843,1263,1126,165,104,37,46,2792,5,2698,478,2220
2164,1246,43990.3,1246,679,286,32,38,23,5,1216,25,1162,181,981
4966,2199,74345.73,2199,47,759,825,240,164,1263,931,5,2049,1184,865
5867,1691,115104.97,1691,0,2,0,47,1081,1642,46,3,1550,1357,193
6211,2539,55339.35,2539,72,1226,917,218,24,0,2539,0,2325,1236,1089
6629,3698,44564.41,3698,735,1531,763,253,84,353,3333,12,3475,950,2525
5380,2222,87636.25,2222,9,38,120,1019,474,1007,1210,5,2121,1178,943
6294,3603,57671.95,3603,1293,1140,312,301,154,257,3342,4,3369,1000,2369
6171,3033,51421.37,3033,695,1578,440,195,20,977,2047,9,3044,1081,1963
2864,910,93503.09,910,82,324,109,88,51,750,160,0,844,699,145
3105,1196,37033.64,1196,481,557,71,58,22,162,1029,5,1186,263,923
6010,3541,43298.19,3541,327,1490,674,199,163,10,3527,4,3302,585,2717
7696,2692,80765.9,2692,352,574,209,260,294,1943,748,1,2521,2228,293
2984,1148,53623.46,1148,45,811,189,65,14,920,228,0,1130,722,408
3769,1671,49616.61,1671,671,680,145,73,26,814,842,15,1562,711,851
5065,2380,42295.84,2380,490,963,271,433,69,381,1989,10,2204,557,1647
1901,927,60961.39,927,21,439,202,196,20,532,108,287,891,677,204
6277,2612,108511.1,2612,1289,822,163,38,34,1591,1021,0,2479,1689,790
4371,1675,82039.25,1675,31,365,974,185,40,1292,383,0,1637,1356,281
3897,1693,59729.76,1693,1297,250,46,18,19,1434,259,0,1581,1250,331
7801,2778,62525.1,2778,398,569,338,953,197,568,2206,4,2622,1716,906
2246,1299,35061.53,1299,825,242,129,43,10,47,1220,32,1285,273,1012
6678,2808,76230.21,2808,196,851,537,516,213,1911,888,9,2689,1904,785
5744,2204,56392.79,2204,169,1554,305,110,0,1330,874,0,2061,1141,920
5906,1474,87457.78,1474,0,6,55,1135,183,1288,186,0,1334,1209,125
8275,2951,108861.07,2951,627,598,447,318,365,2759,183,9,2867,2582,285
3738,1279,123792.83,1279,391,105,123,209,41,1016,263,0,1153,986,167
4250,2089,45660.25,2089,97,843,538,313,53,357,1732,0,2034,1119,915
6182,1983,136037.21,1983,65,1299,270,148,68,1924,59,0,1901,1661,240
8535,3206,94869.49,3206,63,50,49,385,727,1965,1237,4,2728,2116,612
6795,2512,69005.91,2512,83,1795,297,137,50,1875,478,159,2351,1494,857
7157,2657,49778.57,2657,1394,923,133,78,26,1246,1411,0,2567,1266,1301
4450,1658,89472.91,1658,605,655,133,209,26,1615,43,0,1601,1468,133
3158,1418,49183.26,1418,846,387,49,60,29,1132,283,3,1372,878,494
8003,3075,55990.41,3075,94,1022,1165,331,73,6,3069,0,2741,690,2051
6230,2694,72094.04,2694,219,954,370,247,150,1588,1101,5,2482,1772,710
2983,1306,81058.76,1306,132,763,79,107,22,890,416,0,1246,983,263
7708,3537,65427.12,3537,907,1111,506,309,190,1644,1893,0,3249,1755,1494
6452,2735,46115.02,2735,459,1516,300,161,24,664,2071,0,2558,1349,1209
3300,1828,44376.6,1828,1046,416,76,52,61,16,1745,67,1684,370,1314
2195,1284,40304.52,1284,832,216,54,49,0,80,1175,29,1218,129,1089
4234,1506,47199.43,1506,352,855,113,70,46,408,1098,0,1453,722,731
2695,942,100406.15,942,204,116,82,196,11,920,22,0,871,835,36
3151,1696,31307.51,1696,427,562,322,194,93,34,1652,10,1584,315,1269
4227,1347,100080.07,1347,23,73,961,246,6,1009,338,0,1234,972,262
8255,3055,108700.83,3055,562,365,319,98,296,2548,507,0,2857,2299,558
1454,822,43203.57,822,583,120,24,23,13,53,759,10,778,92,686
7065,2704,93631.42,2704,136,929,743,273,161,2045,220,439,2612,2315,297
4973,1603,148617.39,1603,99,619,186,214,161,1598,5,0,1514,1474,40
1959,944,67480.11,944,2,26,40,308,232,137,807,0,920,745,175
3761,1349,84048.46,1349,359,529,31,46,31,672,677,0,1284,1064,220
3815,1459,92047.86,1459,18,768,448,108,58,1236,218,5,1413,1220,193
4591,2453,35717.03,2453,836,891,250,192,74,609,1839,5,2341,356,1985
7490,2596,98166.84,2596,90,964,563,878,21,2104,487,5,2417,2074,343
827,335,60245.16,335,93,125,49,26,0,316,10,9,339,304,35
5363,1779,66664.62,1779,1094,417,73,104,32,943,836,0,1710,1085,625
9589,3719,84556.48,3719,114,469,809,880,296,2915,793,11,3450,2724,726
3667,1146,45832.05,1146,214,718,107,58,21,663,483,0,1077,688,389
4321,1822,58268.03,1822,110,1220,340,72,24,1212,610,0,1718,1211,507
5274,1944,250000,1944,465,149,93,172,153,1283,661,0,1742,1543,199
5400,2214,58684.22,2214,556,314,83,101,230,1451,758,5,1704,974,730
4622,1644,50056.87,1644,355,1110,62,56,0,857,787,0,1601,1000,601
3399,1407,82443.81,1407,178,692,224,121,61,1067,334,6,1334,1109,225
2724,1056,107326.21,1056,31,113,283,306,51,965,91,0,1003,911,92
